OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
195,06067009328,195,3546.000000000000000,3191400.000000000000000,-0.192330312251717
196,06067004001,196,3805.000000000000000,3424500.000000000000000,-0.212875114032189
197,06067003900,197,2684.000000000000000,2415600.000000000000000,-0.214374359543387
198,06067003800,198,5433.000000000000000,4889700.000000000000000,-0.222637076074205
199,06067003700,199,1580.000000000000000,1422000.000000000000000,-0.190854068588573
200,06067003600,200,1413.000000000000000,1271700.000000000000000,-0.208872924871895
201,06067003502,201,1400.000000000000000,1260000.000000000000000,-0.205995386614065
202,06067003501,202,1331.000000000000000,1197900.000000000000000,-0.195269418663431
203,06067003400,203,2533.000000000000000,2279700.000000000000000,-0.214811689202812
204,06067003300,204,2642.000000000000000,2377800.000000000000000,-0.227643235059586
205,06067009108,205,1660.000000000000000,1494000.000000000000000,-0.214304872689746
206,06067009318,206,1469.000000000000000,1322100.000000000000000,-0.136337610326393
207,06067009103,207,2112.000000000000000,1900800.000000000000000,-0.168166196722957
208,06067009006,208,3230.000000000000000,2907000.000000000000000,-0.142761512945384
209,06067009004,209,1532.000000000000000,1378800.000000000000000,-0.183912408169920
210,06067008908,210,2463.000000000000000,2216700.000000000000000,-0.166506091593771
211,06067008907,211,1712.000000000000000,1540800.000000000000000,-0.214304433741702
212,06067008905,212,1794.000000000000000,1614600.000000000000000,-0.200858690509097
213,06067008912,213,2227.000000000000000,2004300.000000000000000,-0.241659208989172
214,06067009326,214,15126.000000000000000,13613400.000000000000000,-0.269926446015645
215,06067009324,215,13552.000000000000000,12196800.000000000000000,-0.286705769197422
216,06067009010,216,5268.000000000000000,4741200.000000000000000,-0.155404980170566
217,06067008801,217,28218.000000000000000,25396200.000000000000000,-0.207890181466252
218,06067008705,218,89577.000000000000000,80619300.000000000000000,-0.220660343640905
219,06067008704,219,2396.000000000000000,2156400.000000000000000,-0.165172965113829
220,06067008510,220,4433.000000000000000,3989700.000000000000000,-0.212360454605800
221,06067008508,221,21034.000000000000000,18930600.000000000000000,-0.211112827892639
222,06067008507,222,4044.000000000000000,3639600.000000000000000,-0.163078843153973
223,06067003102,223,1269.000000000000000,1142100.000000000000000,-0.208778128239280
224,06067003101,224,1392.000000000000000,1252800.000000000000000,-0.231644970805629
225,06067002900,225,2570.000000000000000,2313000.000000000000000,-0.211543858797219
226,06067002800,226,1026.000000000000000,923400.000000000000000,-0.213414607181070
227,06067002700,227,1433.000000000000000,1289700.000000000000000,-0.200691806599602
228,06067002600,228,1032.000000000000000,928800.000000000000000,-0.222181181836686
229,06067002500,229,1101.000000000000000,990900.000000000000000,-0.217613184855038
230,06067002400,230,3581.000000000000000,3222900.000000000000000,-0.299129776323733
231,06067002300,231,1347.000000000000000,1212300.000000000000000,-0.261051403395915
232,06067007905,232,2701.000000000000000,2430900.000000000000000,-0.254147533212865
233,06067008909,233,3013.000000000000000,2711700.000000000000000,-0.266989678858296
234,06067009111,234,1637.000000000000000,1473300.000000000000000,-0.183385190747965
235,06067009107,235,2682.000000000000000,2413800.000000000000000,-0.183308059484747
236,06067009106,236,1974.000000000000000,1776600.000000000000000,-0.208680911254938
237,06067009105,237,971.000000000000000,873900.000000000000000,-0.196176198235378
